object_num,max_cc_time,time_start,time_end,max_cc_val,max_sig,time_diff,worthwhile
0,-0.4,-5.6,11.2,0.625,3.87,16.8,1
1,-2.4,-7.6,4.0,0.561,4.34,11.6,1
2,-0.4,-4.8,13.6,0.408,3.22,18.4,1
3,-2.4,-14.8,12.4,0.482,2.54,27.2,1
3,198.8,177.2,212.4,0.442,2.38,35.2,1
3,608.0,594.4,640.8,0.407,2.22,46.4,1
4,-96.4,-109.6,-85.2,0.343,2.26,24.4,1
4,-0.4,-4.8,4.4,0.532,3.6,9.2,1
4,956.4,945.2,966.8,0.351,2.45,21.6,1
5,-3.6,-25.6,7.6,0.508,3.46,33.2,1
5,1518.4,1510.4,1548.8,0.294,2.39,38.4,1
6,0.8,-2.8,8.0,0.562,4.19,10.8,1
6,70.8,56.4,79.6,0.417,2.91,23.2,1
6,222.4,204.8,226.8,0.388,2.93,22.0,1
7,0.8,-5.6,8.0,0.441,2.92,13.6,1
7,1592.4,1582.0,1656.0,0.411,2.31,74.0,1
8,-1.2,-16.4,21.6,0.539,4.09,38.0,1
9,25.2,0.4,42.4,0.598,4.53,42.0,1
10,-0.4,-4.8,6.0,0.475,3.81,10.8,1
11,73.6,-19.2,118.8,0.435,2.85,138.0,1
12,51.6,-4.0,60.4,0.432,2.54,64.4,1
13,0.4,-14.0,4.0,0.446,2.36,18.0,1
14,-0.4,-10.4,16.0,0.356,2.4,26.4,1
17,18.0,-18.4,47.6,0.55,3.59,66.0,1
18,-3.2,-11.2,14.4,0.434,2.82,25.6,1
21,-975.2,-1078.0,-954.0,0.49,2.45,124.0,1
22,590.0,560.4,616.8,0.443,2.14,56.4,1
22,1724.8,1690.8,1740.4,0.562,2.96,49.6,1
22,2215.2,2180.4,2225.2,0.537,2.44,44.8,1
23,140.0,129.6,170.0,0.62,3.32,40.4,1
24,6.4,-6.8,27.6,0.433,3.31,34.4,1
28,4.8,-10.0,22.4,0.76,4.6,32.4,1
29,2.0,-5.6,34.4,0.333,2.41,40.0,1
30,2428.0,2400.4,2440.0,0.5,2.76,39.6,1
31,-952.0,-968.8,-924.4,0.548,2.83,44.4,1
31,41.6,16.0,64.4,0.41,2.64,48.4,1
34,-0.4,-7.2,10.4,0.446,3.16,17.6,1
35,27.6,9.6,76.0,0.643,3.41,66.4,1
35,322.0,272.4,348.4,0.649,3.69,76.0,1
37,-632.4,-641.2,-615.2,0.583,2.81,26.0,1
37,-0.4,-7.2,6.8,0.592,3.69,14.0,1
37,57.2,50.0,69.6,0.414,2.69,19.6,1
38,-2.0,-10.0,14.8,0.416,3.64,24.8,1
39,-2.4,-10.0,7.2,0.67,3.35,17.2,1
