object_num,max_cc_time,time_start,time_end,max_cc_val,max_sig,time_diff
0,-1379.2,-1382.8,-1371.2,-0.46015,-2.53624,11.6
0,-453.2,-470.4,-427.2,0.45101,2.34037,43.2
0,-0.4,-5.6,11.2,0.62529,3.86681,16.8
0,903.6,876.0,908.8,-0.44024,-2.2798,32.8
0,1045.6,1017.6,1059.2,-0.50092,-2.80694,41.6
0,2184.4,2172.0,2203.6,0.50042,2.73611,31.6
1,-508.4,-546.8,-491.2,-0.48484,-3.40541,55.6
1,-2.4,-7.6,4.0,0.56078,4.3405,11.6
1,497.2,494.8,521.2,-0.3693,-2.62366,26.4
1,715.2,704.0,757.6,0.31587,2.4197,53.6
2,-1401.2,-1404.4,-1398.0,0.52091,2.20556,6.4
2,-0.4,-4.8,13.6,0.40783,3.21759,18.4
2,540.0,528.8,557.2,-0.27446,-2.26261,28.4
2,1064.4,1042.4,1067.2,-0.36084,-2.87884,24.8
2,1385.6,1375.2,1398.4,0.30714,2.44002,23.2
3,-1332.4,-1376.0,-1326.0,-0.39195,-2.554,50.0
3,-2.4,-14.8,12.4,0.48178,2.54144,27.2
3,198.8,177.2,212.4,0.44249,2.38263,35.2
3,608.0,594.4,640.8,0.40691,2.21758,46.4
3,1500.4,1483.6,1518.8,-0.5278,-2.78733,35.2
4,-1492.4,-1505.6,-1472.4,0.43803,2.3304,33.2
4,-1377.6,-1387.6,-1373.2,0.62349,3.15062,14.4
4,-1310.8,-1320.8,-1289.2,-0.49092,-2.32619,31.6
4,-96.4,-109.6,-85.2,0.34342,2.26143,24.4
4,-0.4,-4.8,4.4,0.53214,3.59889,9.2
4,956.4,945.2,966.8,0.35094,2.44526,21.6
4,1869.6,1866.0,1875.6,-0.33567,-2.20235,9.6
4,2000.0,1956.0,2015.2,-0.32607,-2.32102,59.2
4,2075.6,2063.6,2092.8,-0.34631,-2.53738,29.2
5,-1262.4,-1273.6,-1255.6,-0.5791,-2.62684,18.0
5,-3.6,-25.6,7.6,0.50849,3.46312,33.2
5,767.6,754.0,772.0,-0.27495,-2.13042,18.0
5,1518.4,1510.4,1548.8,0.29359,2.38559,38.4
5,2090.4,2053.6,2102.0,-0.36884,-2.22607,48.4
6,-1445.2,-1464.0,-1440.4,-0.44252,-2.39659,23.6
6,-1387.2,-1396.4,-1372.8,-0.47618,-2.68671,23.6
6,-493.2,-524.0,-480.8,-0.41288,-2.702,43.2
6,-411.2,-435.6,-395.2,-0.39767,-2.68081,40.4
6,-328.4,-334.0,-321.2,-0.37248,-2.44698,12.8
6,-212.0,-222.0,-180.0,-0.35856,-2.43769,42.0
6,0.8,-2.8,8.0,0.56232,4.1934,10.8
6,70.8,56.4,79.6,0.41703,2.90844,23.2
6,222.4,204.8,226.8,0.38764,2.93002,22.0
6,1130.4,1116.4,1143.2,0.3275,2.33118,26.8
6,1198.0,1187.2,1209.2,0.37558,2.75451,22.0
6,1254.4,1223.6,1260.8,0.39199,3.00572,37.2
6,1289.6,1282.8,1297.2,0.30091,2.25963,14.4
6,1658.8,1649.6,1667.2,-0.51129,-4.0703,17.6
6,1699.2,1688.8,1708.8,-0.37618,-2.79943,20.0
7,-600.8,-649.6,-585.2,-0.42371,-2.59717,64.4
7,-559.6,-567.2,-554.4,-0.48996,-2.36427,12.8
7,-465.6,-469.6,-440.8,-0.49717,-2.18254,28.8
7,0.8,-5.6,8.0,0.44116,2.92324,13.6
7,1592.4,1582.0,1656.0,0.4111,2.31371,74.0
8,-1.2,-16.4,21.6,0.53867,4.09105,38.0
8,1792.8,1780.0,1830.4,-0.47164,-2.96338,50.4
8,2455.2,2414.0,2472.8,0.45246,2.82822,58.8
9,-1175.6,-1181.6,-1156.8,0.54159,2.71465,24.8
9,-147.6,-194.0,-95.6,-0.29995,-2.3075,98.4
9,25.2,0.4,42.4,0.59752,4.52699,42.0
9,970.0,956.0,988.8,-0.47466,-3.18758,32.8
9,1528.0,1520.4,1542.4,-0.34266,-2.66845,22.0
9,1594.4,1576.0,1603.6,-0.31958,-2.54862,27.6
10,-1448.0,-1451.6,-1430.4,0.57197,2.77668,21.2
10,-594.8,-602.4,-576.0,0.35295,2.59833,26.4
10,-333.6,-340.8,-329.2,0.31475,2.39766,11.6
10,-187.2,-212.8,-182.4,-0.33098,-2.31658,30.4
10,-0.4,-4.8,6.0,0.47457,3.81485,10.8
10,992.8,969.2,999.2,-0.37581,-2.35754,30.0
10,1338.8,1330.4,1353.6,-0.41512,-2.49259,23.2
11,73.6,-19.2,118.8,0.43512,2.85195,138.0
11,1426.4,1412.8,1439.6,0.40563,2.55337,26.8
11,1493.6,1468.4,1520.4,0.41957,2.57191,52.0
11,1621.6,1560.8,1665.6,0.42642,2.69257,104.8
11,2116.8,2106.4,2146.4,-0.32803,-2.21288,40.0
11,2340.0,2188.4,2371.2,-0.35665,-2.4864,182.8
12,51.6,-4.0,60.4,0.43179,2.53926,64.4
12,1579.6,1569.6,1602.4,-0.3061,-2.4116,32.8
12,1704.8,1692.8,1720.4,-0.28224,-2.21643,27.6
13,-875.2,-944.4,-827.2,-0.59947,-2.8323,117.2
13,-673.2,-698.4,-649.6,-0.48665,-2.25625,48.8
13,0.4,-14.0,4.0,0.44633,2.36401,18.0
13,1630.4,1624.0,1639.6,0.30698,2.20023,15.6
14,-718.0,-726.8,-680.8,0.32856,2.22203,46.0
14,-0.4,-10.4,16.0,0.35566,2.39934,26.4
14,1239.6,1219.6,1258.0,-0.43749,-2.86576,38.4
14,2417.6,2410.8,2440.8,0.40515,2.26773,30.0
17,-1452.4,-1470.8,-1416.0,0.59132,2.32927,54.8
17,-1151.2,-1166.4,-1104.0,-0.58627,-2.70373,62.4
17,-791.2,-830.8,-775.2,0.497,2.59526,55.6
17,-684.4,-707.6,-657.6,0.50403,2.76146,50.0
17,-330.0,-342.8,-318.8,-0.45326,-2.66676,24.0
17,18.0,-18.4,47.6,0.55035,3.58757,66.0
17,399.2,370.0,416.4,-0.49735,-3.29465,46.4
17,846.0,826.0,882.8,0.41843,2.87258,56.8
17,1135.6,1114.0,1154.0,-0.4,-2.71942,40.0
17,1319.6,1298.0,1354.4,-0.34724,-2.56686,56.4
17,1511.2,1467.2,1607.2,0.35443,2.50542,140.0
17,2009.2,1987.2,2022.0,-0.44794,-3.07326,34.8
17,2403.6,2339.2,2422.8,0.46527,3.02911,83.6
18,-1219.2,-1228.0,-1201.6,0.4974,2.36548,26.4
18,-75.6,-99.6,-34.8,0.41609,2.48527,64.8
18,-3.2,-11.2,14.4,0.43384,2.81554,25.6
18,1080.8,1066.0,1098.8,-0.39315,-2.50823,32.8
18,1184.0,1178.8,1196.4,-0.36495,-2.41463,17.6
18,1988.0,1962.0,1994.8,0.48563,2.9332,32.8
21,-975.2,-1078.0,-954.0,0.48979,2.45107,124.0
21,-612.4,-662.0,-590.4,-0.37579,-2.22208,71.6
22,590.0,560.4,616.8,0.44301,2.14008,56.4
22,1724.8,1690.8,1740.4,0.56233,2.96248,49.6
22,2215.2,2180.4,2225.2,0.53688,2.44351,44.8
23,140.0,129.6,170.0,0.61992,3.31598,40.4
24,6.4,-6.8,27.6,0.43267,3.31069,34.4
25,-1118.0,-1172.4,-1067.6,-0.42213,-2.29935,104.8
